   T(MeV)       phi_e      thetah        txh        nbh           N           P          H2          H3         He3         He4         Li6         Li7         Be7
 .99404E+01  0.6542E-09  0.2585E-18  0.1000E+01  0.3001E-05  0.4646E+00  0.5354E+00  0.4615E-11  0.1723E-22  0.1111E-15  0.1000E-29  0.1000E-29  0.1000E-29  0.1000E-29
 .64864E+01  0.6717E-09  0.1101E-18  0.1000E+01  0.8332E-06  0.4488E+00  0.5512E+00  0.2723E-11  0.7233E-23  0.7904E-23  0.1000E-29  0.1000E-29  0.1000E-29  0.1000E-29
 .44008E+01  0.6985E-09  0.5066E-19  0.1000E+01  0.2600E-06  0.4266E+00  0.5734E+00  0.1769E-11  0.3939E-23  0.4456E-23  0.1000E-29  0.1000E-29  0.1000E-29  0.1000E-29
 .18231E+01  0.8125E-09  0.8681E-20  0.9995E+00  0.1839E-07  0.3379E+00  0.6621E+00  0.8773E-12  0.3065E-23  0.3954E-23  0.1000E-29  0.1000E-29  0.1000E-29  0.1000E-29
 .64446E+00  0.1017E-08  0.1066E-20  0.9873E+00  0.7830E-09  0.2111E+00  0.7889E+00  0.1232E-11  0.2897E-21  0.3313E-21  0.2172E-21  0.1000E-29  0.1000E-29  0.1000E-29
 .52877E+00  0.1062E-08  0.7101E-21  0.9808E+00  0.4240E-09  0.1961E+00  0.8039E+00  0.1808E-11  0.2410E-20  0.2332E-20  0.2090E-18  0.1000E-29  0.1000E-29  0.1000E-29
 .44795E+00  0.1106E-08  0.5034E-21  0.9733E+00  0.2519E-09  0.1864E+00  0.8136E+00  0.2831E-11  0.2310E-19  0.1834E-19  0.2786E-17  0.1000E-29  0.1000E-29  0.1000E-29
 .38856E+00  0.1153E-08  0.3735E-21  0.9648E+00  0.1601E-09  0.1798E+00  0.8202E+00  0.4629E-11  0.2425E-18  0.1551E-18  0.1854E-16  0.1000E-29  0.1000E-29  0.1000E-29
 .34282E+00  0.1205E-08  0.2863E-21  0.9555E+00  0.1068E-09  0.1752E+00  0.8248E+00  0.7836E-11  0.2759E-17  0.1402E-17  0.1291E-15  0.1000E-29  0.1000E-29  0.1000E-29
 .30625E+00  0.1263E-08  0.2245E-21  0.9454E+00  0.7378E-10  0.1717E+00  0.8283E+00  0.1369E-10  0.3419E-16  0.1363E-16  0.1022E-14  0.1000E-29  0.1000E-29  0.1000E-29
 .27672E+00  0.1328E-08  0.1799E-21  0.9348E+00  0.5262E-10  0.1690E+00  0.8310E+00  0.2437E-10  0.4400E-15  0.1371E-15  0.8840E-14  0.1000E-29  0.1000E-29  0.1000E-29
 .25239E+00  0.1401E-08  0.1468E-21  0.9238E+00  0.3853E-10  0.1669E+00  0.8331E+00  0.4403E-10  0.5831E-14  0.1414E-14  0.8210E-13  0.1000E-29  0.1000E-29  0.1000E-29
 .23188E+00  0.1484E-08  0.1214E-21  0.9125E+00  0.2879E-10  0.1651E+00  0.8349E+00  0.8079E-10  0.8008E-13  0.1505E-13  0.8170E-12  0.1000E-29  0.1000E-29  0.1000E-29
 .18742E+00  0.1793E-08  0.7445E-22  0.8791E+00  0.1359E-10  0.1610E+00  0.8390E+00  0.4995E-09  0.5727E-10  0.5081E-11  0.4174E-09  0.1000E-29  0.1000E-29  0.1000E-29
 .93915E-01  0.7883E-08  0.1433E-22  0.7554E+00  0.1085E-11  0.1397E+00  0.8603E+00  0.1359E-04  0.9416E-06  0.1794E-08  0.3931E-05  0.1104E-18  0.1329E-14  0.2956E-21
 .92837E-01  0.8233E-08  0.1395E-22  0.7538E+00  0.1042E-11  0.1391E+00  0.8609E+00  0.1742E-04  0.1086E-05  0.1918E-08  0.5094E-05  0.1757E-18  0.2315E-14  0.4493E-21
 .91638E-01  0.8655E-08  0.1354E-22  0.7521E+00  0.9952E-12  0.1384E+00  0.8615E+00  0.2312E-04  0.1272E-05  0.2075E-08  0.6928E-05  0.3027E-18  0.4275E-14  0.7180E-21
 .90481E-01  0.9097E-08  0.1314E-22  0.7504E+00  0.9517E-12  0.1377E+00  0.8622E+00  0.3061E-04  0.1490E-05  0.2265E-08  0.9523E-05  0.5287E-18  0.7766E-14  0.1142E-20
 .89353E-01  0.9566E-08  0.1277E-22  0.7488E+00  0.9108E-12  0.1370E+00  0.8629E+00  0.4053E-04  0.1756E-05  0.2519E-08  0.1329E-04  0.9414E-18  0.1407E-13  0.1834E-20
 .88253E-01  0.1006E-07  0.1241E-22  0.7473E+00  0.8722E-12  0.1363E+00  0.8636E+00  0.5369E-04  0.2091E-05  0.2876E-08  0.1885E-04  0.1710E-17  0.2562E-13  0.3006E-20
 .87179E-01  0.1059E-07  0.1207E-22  0.7458E+00  0.8358E-12  0.1355E+00  0.8642E+00  0.7115E-04  0.2519E-05  0.3394E-08  0.2723E-04  0.3171E-17  0.4716E-13  0.5079E-20
 .86139E-01  0.1115E-07  0.1174E-22  0.7445E+00  0.8018E-12  0.1348E+00  0.8649E+00  0.9410E-04  0.3070E-05  0.4157E-08  0.3999E-04  0.5976E-17  0.8771E-13  0.8902E-20
 .85136E-01  0.1173E-07  0.1143E-22  0.7431E+00  0.7700E-12  0.1340E+00  0.8655E+00  0.1241E-03  0.3775E-05  0.5293E-08  0.5956E-04  0.1140E-16  0.1646E-12  0.1626E-19
 .84156E-01  0.1234E-07  0.1113E-22  0.7419E+00  0.7399E-12  0.1332E+00  0.8661E+00  0.1635E-03  0.4691E-05  0.7042E-08  0.9031E-04  0.2215E-16  0.3138E-12  0.3134E-19
 .83198E-01  0.1299E-07  0.1085E-22  0.7406E+00  0.7114E-12  0.1324E+00  0.8666E+00  0.2155E-03  0.5881E-05  0.9789E-08  0.1393E-03  0.4380E-16  0.6071E-12  0.6399E-19
 .82264E-01  0.1368E-07  0.1058E-22  0.7395E+00  0.6844E-12  0.1314E+00  0.8671E+00  0.2837E-03  0.7421E-05  0.1417E-07  0.2177E-03  0.8776E-16  0.1186E-11  0.1381E-18
 .81367E-01  0.1440E-07  0.1032E-22  0.7384E+00  0.6593E-12  0.1304E+00  0.8675E+00  0.3714E-03  0.9373E-05  0.2112E-07  0.3416E-03  0.1758E-15  0.2308E-11  0.3093E-18
 .80489E-01  0.1516E-07  0.1007E-22  0.7373E+00  0.6355E-12  0.1292E+00  0.8676E+00  0.4851E-03  0.1187E-04  0.3240E-07  0.5410E-03  0.3553E-15  0.4505E-11  0.7233E-18
